"ID","Species(miRNA)","Species(Target)","miRNA","Target","Reporter assay","Western blot","qPCR","Microarray","NGS","pSILAC","Other","CLIP-Seq","Sum","Number of paper"
"MIRT754863","hsa","hsa","hsa-miR-190a-5p","NOL4L","0","0","0","0","0","0","0","1","1","1"
"MIRT740651","hsa","hsa","hsa-miR-190a-5p","HACD4","0","0","0","0","0","0","0","1","1","1"
"MIRT480386","hsa","hsa","hsa-miR-190a-5p","","0","0","0","0","1","0","0","0","1","2"
"MIRT642160","hsa","hsa","hsa-miR-190a-5p","ADCYAP1R1","0","0","0","0","1","0","0","1","2","3"
"MIRT005066","hsa","hsa","hsa-miR-190a-5p","CDKN1B","1","0","0","0","0","0","1","0","2","2"
"MIRT474584","hsa","hsa","hsa-miR-190a-5p","KLF6","0","0","0","0","1","0","0","1","2","3"
"MIRT478457","hsa","hsa","hsa-miR-190a-5p","DAB2","0","0","0","0","1","0","0","1","2","3"
"MIRT437446","hsa","hsa","hsa-miR-190a-5p","MARK2","1","1","1","0","0","0","0","0","3","2"
"MIRT449561","hsa","hsa","hsa-miR-190a-5p","GPC5","0","0","0","0","1","0","0","1","2","3"
"MIRT476733","hsa","hsa","hsa-miR-190a-5p","FOXN2","0","0","0","0","1","0","0","1","2","3"
"MIRT438368","hsa","hsa","hsa-miR-190a-5p","IGF1","1","0","1","0","0","0","0","0","2","2"
"MIRT511367","hsa","hsa","hsa-miR-190a-5p","IL6ST","0","0","0","0","1","0","0","1","2","5"
"MIRT545077","hsa","hsa","hsa-miR-190a-5p","IL7R","0","0","0","0","1","0","0","1","2","3"
"MIRT474211","hsa","hsa","hsa-miR-190a-5p","LDHA","0","0","0","0","1","0","0","1","2","3"
"MIRT473737","hsa","hsa","hsa-miR-190a-5p","MAP3K9","0","0","0","0","1","0","0","1","2","3"
"MIRT501735","hsa","hsa","hsa-miR-190a-5p","OVOL1","0","0","0","0","1","0","0","1","2","3"
"MIRT469929","hsa","hsa","hsa-miR-190a-5p","PTPRJ","0","0","0","0","1","0","0","1","2","7"
"MIRT520516","hsa","hsa","hsa-miR-190a-5p","TRA2B","0","0","0","0","1","0","0","1","2","3"
"MIRT021081","hsa","hsa","hsa-miR-190a-5p","VEGFA","0","0","0","0","0","0","1","0","1","2"
"MIRT550158","hsa","hsa","hsa-miR-190a-5p","ZNF223","0","0","0","0","1","0","0","1","2","5"
"MIRT544616","hsa","hsa","hsa-miR-190a-5p","CSDE1","0","0","0","0","1","0","0","1","2","3"
"MIRT444673","hsa","hsa","hsa-miR-190a-5p","CDKL2","0","0","0","0","1","0","0","1","2","3"
"MIRT545850","hsa","hsa","hsa-miR-190a-5p","ZNF264","0","0","0","0","1","0","0","1","2","5"
