"ID","Species(miRNA)","Species(Target)","miRNA","Target","Reporter assay","Western blot","qPCR","Microarray","NGS","pSILAC","Other","CLIP-Seq","Sum","Number of paper"
"MIRT754736","hsa","hsa","hsa-miR-548b-5p","PLET1","0","0","0","0","0","0","0","1","1","2"
"MIRT082178","hsa","hsa","hsa-miR-548b-5p","ACTN4","0","0","0","0","1","0","0","1","2","7"
"MIRT552819","hsa","hsa","hsa-miR-548b-5p","XIAP","0","0","0","0","1","0","0","1","2","5"
"MIRT695342","hsa","hsa","hsa-miR-548b-5p","AQP3","0","0","0","0","1","0","0","1","2","3"
"MIRT559352","hsa","hsa","hsa-miR-548b-5p","ATP5G3","0","0","0","0","1","0","0","1","2","3"
"MIRT203133","hsa","hsa","hsa-miR-548b-5p","BACH1","0","0","0","0","1","0","0","1","2","3"
"MIRT177228","hsa","hsa","hsa-miR-548b-5p","BMI1","0","0","0","0","1","0","0","1","2","3"
"MIRT179578","hsa","hsa","hsa-miR-548b-5p","CAPZA1","0","0","0","0","1","0","0","1","2","7"
"MIRT216347","hsa","hsa","hsa-miR-548b-5p","CCNB1","0","0","0","0","1","0","0","1","2","5"
"MIRT502895","hsa","hsa","hsa-miR-548b-5p","CDK4","0","0","0","0","1","0","0","1","2","9"
"MIRT538353","hsa","hsa","hsa-miR-548b-5p","CSE1L","0","0","0","0","1","0","0","1","2","5"
"MIRT489992","hsa","hsa","hsa-miR-548b-5p","DDB1","0","0","0","0","1","0","0","1","2","3"
"MIRT293243","hsa","hsa","hsa-miR-548b-5p","DR1","0","0","0","0","1","0","0","1","2","3"
"MIRT537842","hsa","hsa","hsa-miR-548b-5p","EFNA5","0","0","0","0","1","0","0","1","2","3"
"MIRT502806","hsa","hsa","hsa-miR-548b-5p","CELSR3","0","0","0","0","1","0","0","1","2","7"
"MIRT486200","hsa","hsa","hsa-miR-548b-5p","ERH","0","0","0","0","1","0","0","1","2","5"
"MIRT541250","hsa","hsa","hsa-miR-548b-5p","GPC4","0","0","0","0","1","0","0","1","2","3"
"MIRT254775","hsa","hsa","hsa-miR-548b-5p","XRCC6","0","0","0","0","1","0","0","1","2","7"
"MIRT557495","hsa","hsa","hsa-miR-548b-5p","GPR27","0","0","0","0","1","0","0","1","2","5"
"MIRT503725","hsa","hsa","hsa-miR-548b-5p","GRM5","0","0","0","0","1","0","0","1","2","3"
"MIRT545222","hsa","hsa","hsa-miR-548b-5p","HIST1H2BD","0","0","0","0","1","0","0","1","2","3"
"MIRT248629","hsa","hsa","hsa-miR-548b-5p","HMGN2","0","0","0","0","1","0","0","1","2","5"
"MIRT557154","hsa","hsa","hsa-miR-548b-5p","HOXA13","0","0","0","0","1","0","0","1","2","3"
"MIRT556998","hsa","hsa","hsa-miR-548b-5p","HPRT1","0","0","0","0","1","0","0","1","2","3"
"MIRT567267","hsa","hsa","hsa-miR-548b-5p","HSP90AA1","0","0","0","0","1","0","0","1","2","3"
"MIRT088895","hsa","hsa","hsa-miR-548b-5p","FOXN2","0","0","0","0","1","0","0","1","2","5"
"MIRT216094","hsa","hsa","hsa-miR-548b-5p","IL6ST","0","0","0","0","1","0","0","1","2","3"
"MIRT500228","hsa","hsa","hsa-miR-548b-5p","INHBA","0","0","0","0","1","0","0","1","2","11"
"MIRT378848","hsa","hsa","hsa-miR-548b-5p","ITGB8","0","0","0","0","1","0","0","1","2","3"
"MIRT544007","hsa","hsa","hsa-miR-548b-5p","KLRC3","0","0","0","0","1","0","0","1","2","3"
"MIRT547683","hsa","hsa","hsa-miR-548b-5p","KPNA1","0","0","0","0","1","0","0","1","2","5"
"MIRT556507","hsa","hsa","hsa-miR-548b-5p","LIPA","0","0","0","0","1","0","0","1","2","3"
"MIRT214571","hsa","hsa","hsa-miR-548b-5p","SMAD5","0","0","0","0","1","0","0","1","2","5"
"MIRT447078","hsa","hsa","hsa-miR-548b-5p","MCC","0","0","0","0","1","0","0","1","2","3"
"MIRT693209","hsa","hsa","hsa-miR-548b-5p","MKI67","0","0","0","0","1","0","0","1","2","3"
"MIRT551056","hsa","hsa","hsa-miR-548b-5p","MKLN1","0","0","0","0","1","0","0","1","2","3"
"MIRT683156","hsa","hsa","hsa-miR-548b-5p","MTHFD1","0","0","0","0","1","0","0","1","2","3"
"MIRT500702","hsa","hsa","hsa-miR-548b-5p","TRIM37","0","0","0","0","1","0","0","1","2","3"
"MIRT565884","hsa","hsa","hsa-miR-548b-5p","NHS","0","0","0","0","1","0","0","1","2","3"
"MIRT179095","hsa","hsa","hsa-miR-548b-5p","PAFAH1B2","0","0","0","0","1","0","0","1","2","7"
"MIRT543243","hsa","hsa","hsa-miR-548b-5p","PEX7","0","0","0","0","1","0","0","1","2","3"
"MIRT566404","hsa","hsa","hsa-miR-548b-5p","PLAGL2","0","0","0","0","1","0","0","1","2","3"
"MIRT618387","hsa","hsa","hsa-miR-548b-5p","PRKG2","0","0","0","0","1","0","0","1","2","3"
"MIRT281793","hsa","hsa","hsa-miR-548b-5p","MAP2K1","0","0","0","0","1","0","0","1","2","3"
"MIRT083021","hsa","hsa","hsa-miR-548b-5p","PTBP1","0","0","0","0","1","0","0","1","2","3"
"MIRT623463","hsa","hsa","hsa-miR-548b-5p","KDM5A","0","0","0","0","1","0","0","1","2","3"
"MIRT502744","hsa","hsa","hsa-miR-548b-5p","CLIP1","0","0","0","0","1","0","0","1","2","9"
"MIRT556326","hsa","hsa","hsa-miR-548b-5p","MAP2K4","0","0","0","0","1","0","0","1","2","3"
"MIRT520527","hsa","hsa","hsa-miR-548b-5p","TRA2B","0","0","0","0","1","0","0","1","2","3"
"MIRT230063","hsa","hsa","hsa-miR-548b-5p","SH3BGRL","0","0","0","0","1","0","0","1","2","3"
"MIRT085180","hsa","hsa","hsa-miR-548b-5p","SLC5A3","0","0","0","0","1","0","0","1","2","5"
"MIRT177617","hsa","hsa","hsa-miR-548b-5p","UBE2D1","0","0","0","0","1","0","0","1","2","7"
"MIRT095384","hsa","hsa","hsa-miR-548b-5p","UBE2D2","0","0","0","0","1","0","0","1","2","3"
"MIRT553153","hsa","hsa","hsa-miR-548b-5p","UBE2H","0","0","0","0","1","0","0","1","2","3"
"MIRT572947","hsa","hsa","hsa-miR-548b-5p","VDAC2","0","0","0","0","1","0","0","1","2","3"
"MIRT443124","hsa","hsa","hsa-miR-548b-5p","VLDLR","0","0","0","0","1","0","0","1","2","3"
"MIRT463740","hsa","hsa","hsa-miR-548b-5p","YWHAE","0","0","0","0","1","0","0","1","2","9"
"MIRT328120","hsa","hsa","hsa-miR-548b-5p","ZNF711","0","0","0","0","1","0","0","1","2","3"
"MIRT503491","hsa","hsa","hsa-miR-548b-5p","ZNF154","0","0","0","0","1","0","0","1","2","7"
"MIRT445088","hsa","hsa","hsa-miR-548b-5p","ZNF207","0","0","0","0","1","0","0","1","2","3"
"MIRT546922","hsa","hsa","hsa-miR-548b-5p","PTP4A1","0","0","0","0","1","0","0","1","2","3"
"MIRT450559","hsa","hsa","hsa-miR-548b-5p","SHFM1","0","0","0","0","1","0","0","1","2","3"
"MIRT573725","hsa","hsa","hsa-miR-548b-5p","KHSRP","0","0","0","0","1","0","0","1","2","3"
"MIRT556760","hsa","hsa","hsa-miR-548b-5p","KLF7","0","0","0","0","1","0","0","1","2","3"
"MIRT111783","hsa","hsa","hsa-miR-548b-5p","MPZL1","0","0","0","0","1","0","0","1","2","3"
"MIRT104327","hsa","hsa","hsa-miR-548b-5p","CLDN12","0","0","0","0","1","0","0","1","2","3"
"MIRT472772","hsa","hsa","hsa-miR-548b-5p","MTMR6","0","0","0","0","1","0","0","1","2","9"
"MIRT340665","hsa","hsa","hsa-miR-548b-5p","THRAP3","0","0","0","0","1","0","0","1","2","3"
"MIRT527939","hsa","hsa","hsa-miR-548b-5p","FRY","0","0","0","0","1","0","0","1","2","3"
"MIRT312577","hsa","hsa","hsa-miR-548b-5p","G3BP1","0","0","0","0","1","0","0","1","2","5"
"MIRT509292","hsa","hsa","hsa-miR-548b-5p","NPM3","0","0","0","0","1","0","0","1","2","7"
"MIRT264358","hsa","hsa","hsa-miR-548b-5p","YAP1","0","0","0","0","1","0","0","1","2","3"
"MIRT488617","hsa","hsa","hsa-miR-548b-5p","FAM3C","0","0","0","0","1","0","0","1","2","7"
"MIRT553838","hsa","hsa","hsa-miR-548b-5p","SYNCRIP","0","0","0","0","1","0","0","1","2","3"
"MIRT226722","hsa","hsa","hsa-miR-548b-5p","ANP32B","0","0","0","0","1","0","0","1","2","5"
"MIRT649491","hsa","hsa","hsa-miR-548b-5p","CLDN16","0","0","0","0","1","0","0","1","2","3"
"MIRT089481","hsa","hsa","hsa-miR-548b-5p","MTHFD2","0","0","0","0","1","0","0","1","2","7"
"MIRT617944","hsa","hsa","hsa-miR-548b-5p","EBNA1BP2","0","0","0","0","1","0","0","1","2","3"
"MIRT528826","hsa","hsa","hsa-miR-548b-5p","RAB32","0","0","0","0","1","0","0","1","2","3"
"MIRT455900","hsa","hsa","hsa-miR-548b-5p","KIF2C","0","0","0","0","1","0","0","1","2","3"
"MIRT563413","hsa","hsa","hsa-miR-548b-5p","KIF3A","0","0","0","0","1","0","0","1","2","3"
"MIRT560343","hsa","hsa","hsa-miR-548b-5p","ZWINT","0","0","0","0","1","0","0","1","2","3"
"MIRT405629","hsa","hsa","hsa-miR-548b-5p","WBP4","0","0","0","0","1","0","0","1","2","5"
"MIRT548909","hsa","hsa","hsa-miR-548b-5p","CHEK2","0","0","0","0","1","0","0","1","2","5"
"MIRT471190","hsa","hsa","hsa-miR-548b-5p","PHB2","0","0","0","0","1","0","0","1","2","3"
"MIRT103346","hsa","hsa","hsa-miR-548b-5p","CBX3","0","0","0","0","1","0","0","1","2","3"
"MIRT501031","hsa","hsa","hsa-miR-548b-5p","SMG1","0","0","0","0","1","0","0","1","2","7"
"MIRT104492","hsa","hsa","hsa-miR-548b-5p","PEG10","0","0","0","0","1","0","0","1","2","7"
"MIRT561307","hsa","hsa","hsa-miR-548b-5p","ZBTB43","0","0","0","0","1","0","0","1","2","3"
"MIRT543915","hsa","hsa","hsa-miR-548b-5p","ESYT1","0","0","0","0","1","0","0","1","2","3"
"MIRT708761","hsa","hsa","hsa-miR-548b-5p","RYBP","0","0","0","0","1","0","0","1","2","3"
"MIRT535503","hsa","hsa","hsa-miR-548b-5p","PANX1","0","0","0","0","1","0","0","1","2","3"
"MIRT450727","hsa","hsa","hsa-miR-548b-5p","PVRL3","0","0","0","0","1","0","0","1","2","3"
"MIRT498000","hsa","hsa","hsa-miR-548b-5p","ZBTB20","0","0","0","0","1","0","0","1","2","3"
"MIRT482284","hsa","hsa","hsa-miR-548b-5p","AGO2","0","0","0","0","1","0","0","1","2","5"
"MIRT545054","hsa","hsa","hsa-miR-548b-5p","PRELID1","0","0","0","0","1","0","0","1","2","3"
"MIRT544195","hsa","hsa","hsa-miR-548b-5p","ANGPTL3","0","0","0","0","1","0","0","1","2","3"
"MIRT691668","hsa","hsa","hsa-miR-548b-5p","SLC43A3","0","0","0","0","1","0","0","1","2","3"
"MIRT220043","hsa","hsa","hsa-miR-548b-5p","MDFIC","0","0","0","0","1","0","0","1","2","3"
"MIRT092029","hsa","hsa","hsa-miR-548b-5p","ABHD5","0","0","0","0","1","0","0","1","2","3"
"MIRT329306","hsa","hsa","hsa-miR-548b-5p","FAM53C","0","0","0","0","1","0","0","1","2","3"
