"ID","Species(miRNA)","Species(Target)","miRNA","Target","Reporter assay","Western blot","qPCR","Microarray","NGS","pSILAC","Other","CLIP-Seq","Sum","Number of paper"
"MIRT742166","hsa","hsa","hsa-miR-4677-5p","ACKR2","0","0","0","0","0","0","0","1","1","1"
"MIRT739843","hsa","hsa","hsa-miR-4677-5p","PDE10A","0","0","0","0","0","0","0","1","1","1"
"MIRT742241","hsa","hsa","hsa-miR-4677-5p","ARFGEF3","0","0","0","0","0","0","0","1","1","1"
"MIRT643430","hsa","hsa","hsa-miR-4677-5p","","0","0","0","0","1","0","0","0","1","2"
"MIRT135057","hsa","hsa","hsa-miR-4677-5p","ADSS","0","0","0","0","1","0","0","1","2","5"
"MIRT665369","hsa","hsa","hsa-miR-4677-5p","XIAP","0","0","0","0","1","0","0","1","2","3"
"MIRT502954","hsa","hsa","hsa-miR-4677-5p","CCNT2","0","0","0","0","1","0","0","1","2","3"
"MIRT497203","hsa","hsa","hsa-miR-4677-5p","CDH7","0","0","0","0","1","0","0","1","2","5"
"MIRT407003","hsa","hsa","hsa-miR-4677-5p","CEBPB","0","0","0","0","1","0","0","1","2","3"
"MIRT638330","hsa","hsa","hsa-miR-4677-5p","RCAN1","0","0","0","0","1","0","0","1","2","3"
"MIRT558192","hsa","hsa","hsa-miR-4677-5p","EIF2S1","0","0","0","0","1","0","0","1","2","5"
"MIRT608164","hsa","hsa","hsa-miR-4677-5p","ERBB2","0","0","0","0","1","0","0","1","2","3"
"MIRT450265","hsa","hsa","hsa-miR-4677-5p","F2RL2","0","0","0","0","1","0","0","1","2","3"
"MIRT724072","hsa","hsa","hsa-miR-4677-5p","NCKAP1L","0","0","0","0","1","0","0","1","2","3"
"MIRT572582","hsa","hsa","hsa-miR-4677-5p","HGFAC","0","0","0","0","1","0","0","1","2","3"
"MIRT710569","hsa","hsa","hsa-miR-4677-5p","TNPO1","0","0","0","0","1","0","0","1","2","3"
"MIRT659857","hsa","hsa","hsa-miR-4677-5p","CAPRIN1","0","0","0","0","1","0","0","1","2","5"
"MIRT573357","hsa","hsa","hsa-miR-4677-5p","PDE3A","0","0","0","0","1","0","0","1","2","3"
"MIRT725234","hsa","hsa","hsa-miR-4677-5p","PDE1B","0","0","0","0","1","0","0","1","2","3"
"MIRT080553","hsa","hsa","hsa-miR-4677-5p","PMAIP1","0","0","0","0","1","0","0","1","2","3"
