"ID","Species(miRNA)","Species(Target)","miRNA","Target","Reporter assay","Western blot","qPCR","Microarray","NGS","pSILAC","Other","CLIP-Seq","Sum","Number of paper"
"MIRT754901","hsa","hsa","hsa-miR-423-5p","CAPN15","0","0","0","0","0","0","0","1","1","1"
"MIRT489647","hsa","hsa","hsa-miR-423-5p","ABL1","0","0","0","0","1","0","0","1","2","5"
"MIRT038157","hsa","hsa","hsa-miR-423-5p","ACTG1","0","0","0","0","1","0","0","0","1","2"
"MIRT737113","hsa","hsa","hsa-miR-423-5p","ADCY3","0","1","1","0","1","0","0","0","3","1"
"MIRT482151","hsa","hsa","hsa-miR-423-5p","AK2","0","0","0","0","1","0","0","1","2","3"
"MIRT644451","hsa","hsa","hsa-miR-423-5p","ALDOC","0","0","0","0","1","0","0","1","2","3"
"MIRT038106","hsa","hsa","hsa-miR-423-5p","ARHGDIA","0","0","0","0","1","0","0","0","1","2"
"MIRT481453","hsa","hsa","hsa-miR-423-5p","ARRB2","0","0","0","0","1","0","0","1","2","3"
"MIRT489230","hsa","hsa","hsa-miR-423-5p","ASCL2","0","0","0","0","1","0","0","1","2","5"
"MIRT483709","hsa","hsa","hsa-miR-423-5p","ASPH","0","0","0","0","1","0","0","1","2","3"
"MIRT038088","hsa","hsa","hsa-miR-423-5p","ATP2B4","0","0","0","0","1","0","0","0","1","2"
"MIRT038164","hsa","hsa","hsa-miR-423-5p","ATP5B","0","0","0","0","1","0","0","0","1","2"
"MIRT038081","hsa","hsa","hsa-miR-423-5p","ATP6V1E1","0","0","0","0","1","0","0","0","1","2"
"MIRT038023","hsa","hsa","hsa-miR-423-5p","KIF1A","0","0","0","0","1","0","0","0","1","2"
"MIRT568305","hsa","hsa","hsa-miR-423-5p","BAK1","0","0","0","0","1","0","0","1","2","3"
"MIRT038046","hsa","hsa","hsa-miR-423-5p","ZFP36L1","0","0","0","0","1","0","0","0","1","2"
"MIRT253003","hsa","hsa","hsa-miR-423-5p","CALM3","0","0","0","0","1","0","0","1","2","3"
"MIRT038069","hsa","hsa","hsa-miR-423-5p","RUNX1","0","0","0","0","1","0","0","0","1","2"
"MIRT038097","hsa","hsa","hsa-miR-423-5p","CCND2","0","0","0","0","1","0","0","0","1","2"
"MIRT038126","hsa","hsa","hsa-miR-423-5p","CCNF","0","0","0","0","1","0","0","0","1","2"
"MIRT038125","hsa","hsa","hsa-miR-423-5p","CD81","0","0","0","0","1","0","0","0","1","2"
"MIRT038036","hsa","hsa","hsa-miR-423-5p","CDKN2A","0","0","0","0","1","0","0","0","1","2"
"MIRT038165","hsa","hsa","hsa-miR-423-5p","CEBPB","0","0","0","0","1","0","0","0","1","2"
"MIRT486535","hsa","hsa","hsa-miR-423-5p","CLCN7","0","0","0","0","1","0","0","1","2","3"
"MIRT498182","hsa","hsa","hsa-miR-423-5p","CREB1","0","0","0","0","1","0","0","1","2","3"
"MIRT038056","hsa","hsa","hsa-miR-423-5p","CSTB","0","0","0","0","1","0","0","0","1","2"
"MIRT038178","hsa","hsa","hsa-miR-423-5p","DAG1","0","0","0","0","1","0","0","0","1","2"
"MIRT038077","hsa","hsa","hsa-miR-423-5p","DLX5","0","0","0","0","1","0","0","0","1","2"
"MIRT038080","hsa","hsa","hsa-miR-423-5p","ATN1","0","0","0","0","1","0","0","0","1","2"
"MIRT477781","hsa","hsa","hsa-miR-423-5p","E2F3","0","0","0","0","1","0","0","1","2","3"
"MIRT038089","hsa","hsa","hsa-miR-423-5p","EPB41","0","0","0","0","1","0","0","0","1","2"
"MIRT038079","hsa","hsa","hsa-miR-423-5p","FAAH","0","0","0","0","1","0","0","0","1","2"
"MIRT038093","hsa","hsa","hsa-miR-423-5p","FKBP4","0","0","0","0","1","0","0","0","1","2"
"MIRT038105","hsa","hsa","hsa-miR-423-5p","GAPDH","0","0","0","0","1","0","0","0","1","2"
"MIRT455534","hsa","hsa","hsa-miR-423-5p","GJB1","0","0","0","0","1","0","0","1","2","3"
"MIRT038153","hsa","hsa","hsa-miR-423-5p","GLUL","0","0","0","0","1","0","0","0","1","2"
"MIRT038052","hsa","hsa","hsa-miR-423-5p","MKNK2","0","0","0","0","1","0","0","1","2","8"
"MIRT710756","hsa","hsa","hsa-miR-423-5p","GRID1","0","0","0","0","1","0","0","1","2","3"
"MIRT038149","hsa","hsa","hsa-miR-423-5p","GTF2F1","0","0","0","0","1","0","0","0","1","2"
"MIRT038090","hsa","hsa","hsa-miR-423-5p","HIST1H1C","0","0","0","0","1","0","0","0","1","2"
"MIRT038119","hsa","hsa","hsa-miR-423-5p","HIST1H1E","0","0","0","0","1","0","0","0","1","2"
"MIRT491504","hsa","hsa","hsa-miR-423-5p","HLA-DOA","0","0","0","0","1","0","0","1","2","3"
"MIRT038144","hsa","hsa","hsa-miR-423-5p","HOXA7","0","0","0","0","1","0","0","0","1","2"
"MIRT493434","hsa","hsa","hsa-miR-423-5p","KCNK3","0","0","0","0","1","0","0","1","2","3"
"MIRT474273","hsa","hsa","hsa-miR-423-5p","LASP1","0","0","0","0","1","0","0","1","2","3"
"MIRT038138","hsa","hsa","hsa-miR-423-5p","LRCH4","0","0","0","0","1","0","0","0","1","2"
"MIRT509415","hsa","hsa","hsa-miR-423-5p","MCM7","0","0","0","0","1","0","0","1","2","7"
"MIRT473434","hsa","hsa","hsa-miR-423-5p","MDM4","0","0","0","0","1","0","0","1","2","3"
"MIRT038170","hsa","hsa","hsa-miR-423-5p","MFGE8","0","0","0","0","1","0","0","0","1","2"
"MIRT473741","hsa","hsa","hsa-miR-423-5p","MAP3K9","0","0","0","0","1","0","0","1","2","3"
"MIRT661923","hsa","hsa","hsa-miR-423-5p","MLN","0","0","0","0","1","0","0","1","2","3"
"MIRT573517","hsa","hsa","hsa-miR-423-5p","MMP17","0","0","0","0","1","0","0","1","2","3"
"MIRT491691","hsa","hsa","hsa-miR-423-5p","MNT","0","0","0","0","1","0","0","1","2","5"
"MIRT038045","hsa","hsa","hsa-miR-423-5p","ATP6","0","0","0","0","1","0","0","0","1","2"
"MIRT038031","hsa","hsa","hsa-miR-423-5p","COX1","0","0","0","0","1","0","0","0","1","2"
"MIRT038034","hsa","hsa","hsa-miR-423-5p","ND5","0","0","0","0","1","0","0","0","1","2"
"MIRT038033","hsa","hsa","hsa-miR-423-5p","MYBL2","0","0","0","0","1","0","0","0","1","2"
"MIRT038140","hsa","hsa","hsa-miR-423-5p","MYC","0","0","0","0","1","0","0","0","1","2"
"MIRT038060","hsa","hsa","hsa-miR-423-5p","CEACAM6","0","0","0","0","1","0","0","0","1","2"
"MIRT254645","hsa","hsa","hsa-miR-423-5p","NF2","0","0","0","0","1","0","0","1","2","3"
"MIRT574579","hsa","hsa","hsa-miR-423-5p","NFIX","0","0","0","0","1","0","0","1","2","3"
"MIRT038120","hsa","hsa","hsa-miR-423-5p","NFKB2","0","0","0","0","1","0","0","0","1","2"
"MIRT456577","hsa","hsa","hsa-miR-423-5p","NID1","0","0","0","0","1","0","0","1","2","3"
"MIRT038030","hsa","hsa","hsa-miR-423-5p","NME2","0","0","0","0","1","0","0","0","1","2"
"MIRT451722","hsa","hsa","hsa-miR-423-5p","OLR1","0","0","0","0","1","0","0","1","2","3"
"MIRT038112","hsa","hsa","hsa-miR-423-5p","PA2G4","0","0","0","0","1","0","0","0","1","2"
"MIRT038058","hsa","hsa","hsa-miR-423-5p","PAK1","0","0","0","0","1","0","0","0","1","2"
"MIRT038163","hsa","hsa","hsa-miR-423-5p","PAX2","0","0","0","0","1","0","0","1","2","4"
"MIRT038098","hsa","hsa","hsa-miR-423-5p","PCBP1","0","0","0","0","1","0","0","0","1","2"
"MIRT038100","hsa","hsa","hsa-miR-423-5p","PDPK1","0","0","0","0","1","0","0","0","1","2"
"MIRT454761","hsa","hsa","hsa-miR-423-5p","PFKFB3","0","0","0","0","1","0","0","1","2","3"
"MIRT038155","hsa","hsa","hsa-miR-423-5p","PKM","0","0","0","0","1","0","0","0","1","2"
"MIRT561765","hsa","hsa","hsa-miR-423-5p","PLAGL2","0","0","0","0","1","0","0","1","2","3"
"MIRT038051","hsa","hsa","hsa-miR-423-5p","PPIA","0","0","0","0","1","0","0","0","1","2"
"MIRT470189","hsa","hsa","hsa-miR-423-5p","PSMD11","0","0","0","0","1","0","0","1","2","3"
"MIRT038123","hsa","hsa","hsa-miR-423-5p","PTMA","0","0","0","0","1","0","0","0","1","2"
"MIRT038172","hsa","hsa","hsa-miR-423-5p","RPL10","0","0","0","0","1","0","0","0","1","2"
"MIRT038096","hsa","hsa","hsa-miR-423-5p","RPL18A","0","0","0","0","1","0","0","0","1","2"
"MIRT038169","hsa","hsa","hsa-miR-423-5p","RPL23A","0","0","0","0","1","0","0","0","1","2"
"MIRT038055","hsa","hsa","hsa-miR-423-5p","RPS2","0","0","0","0","1","0","0","0","1","2"
"MIRT038095","hsa","hsa","hsa-miR-423-5p","RPS9","0","0","0","0","1","0","0","0","1","2"
"MIRT038039","hsa","hsa","hsa-miR-423-5p","RPS10","0","0","0","0","1","0","0","0","1","2"
"MIRT038026","hsa","hsa","hsa-miR-423-5p","RPS15A","0","0","0","0","1","0","0","0","1","2"
"MIRT722673","hsa","hsa","hsa-miR-423-5p","RRM2","0","0","0","0","1","0","0","1","2","3"
"MIRT038173","hsa","hsa","hsa-miR-423-5p","SALL1","0","0","0","0","1","0","0","0","1","2"
"MIRT736182","hsa","hsa","hsa-miR-423-5p","CXCL12","0","0","1","0","1","0","0","0","2","1"
"MIRT489664","hsa","hsa","hsa-miR-423-5p","SHMT1","0","0","0","0","1","0","0","1","2","5"
"MIRT692263","hsa","hsa","hsa-miR-423-5p","SLC2A5","0","0","0","0","1","0","0","1","2","3"
"MIRT038054","hsa","hsa","hsa-miR-423-5p","SLC6A6","0","0","0","0","1","0","0","0","1","2"
"MIRT038121","hsa","hsa","hsa-miR-423-5p","SLC7A2","0","0","0","0","1","0","0","0","1","2"
"MIRT494370","hsa","hsa","hsa-miR-423-5p","SOLH","0","0","0","0","1","0","0","0","1","2"
"MIRT492189","hsa","hsa","hsa-miR-423-5p","SOX12","1","1","1","0","1","0","0","1","5","3"
"MIRT467370","hsa","hsa","hsa-miR-423-5p","SP1","0","0","0","0","1","0","0","1","2","3"
"MIRT038148","hsa","hsa","hsa-miR-423-5p","SRM","0","0","0","0","1","0","0","1","2","8"
"MIRT038146","hsa","hsa","hsa-miR-423-5p","SRP54","0","0","0","0","1","0","0","0","1","2"
"MIRT497819","hsa","hsa","hsa-miR-423-5p","STAT5B","0","0","0","0","1","0","0","1","2","3"
"MIRT459510","hsa","hsa","hsa-miR-423-5p","TACR3","0","0","0","0","1","0","0","1","2","3"
"MIRT496595","hsa","hsa","hsa-miR-423-5p","TAGLN","0","0","0","0","1","0","0","1","2","3"
"MIRT470469","hsa","hsa","hsa-miR-423-5p","PPP1R11","0","0","0","0","1","0","0","1","2","3"
"MIRT113259","hsa","hsa","hsa-miR-423-5p","TMBIM6","0","0","0","0","1","0","0","1","2","3"
