"ID","Species(miRNA)","Species(Target)","miRNA","Target","Reporter assay","Western blot","qPCR","Microarray","NGS","pSILAC","Other","CLIP-Seq","Sum","Number of paper"
"MIRT740793","hsa","hsa","hsa-miR-3613-5p","SARAF","0","0","0","0","0","0","0","1","1","1"
"MIRT562524","hsa","hsa","hsa-miR-3613-5p","CDK6","0","0","0","0","1","0","0","1","2","3"
"MIRT574807","hsa","hsa","hsa-miR-3613-5p","EIF4A1","0","0","0","0","1","0","0","1","2","3"
"MIRT702850","hsa","hsa","hsa-miR-3613-5p","HNRNPA1","0","0","0","0","1","0","0","1","2","3"
"MIRT395248","hsa","hsa","hsa-miR-3613-5p","MT1E","0","0","0","0","1","0","0","1","2","3"
"MIRT284327","hsa","hsa","hsa-miR-3613-5p","MT2A","0","0","0","0","1","0","0","1","2","3"
"MIRT535749","hsa","hsa","hsa-miR-3613-5p","MYO10","0","0","0","0","1","0","0","1","2","5"
"MIRT470275","hsa","hsa","hsa-miR-3613-5p","PRKAA1","0","0","0","0","1","0","0","1","2","3"
"MIRT450698","hsa","hsa","hsa-miR-3613-5p","RORA","0","0","0","0","1","0","0","1","2","3"
"MIRT574373","hsa","hsa","hsa-miR-3613-5p","YY1","0","0","0","0","1","0","0","1","2","3"
"MIRT546065","hsa","hsa","hsa-miR-3613-5p","VEZF1","0","0","0","0","1","0","0","1","2","3"
"MIRT481593","hsa","hsa","hsa-miR-3613-5p","ARID1A","0","0","0","0","1","0","0","1","2","3"
"MIRT447619","hsa","hsa","hsa-miR-3613-5p","CUL3","0","0","0","0","1","0","0","1","2","3"
"MIRT176645","hsa","hsa","hsa-miR-3613-5p","SMC3","0","0","0","0","1","0","0","1","2","3"
"MIRT561836","hsa","hsa","hsa-miR-3613-5p","NREP","0","0","0","0","1","0","0","1","2","3"
"MIRT636468","hsa","hsa","hsa-miR-3613-5p","LHFP","0","0","0","0","1","0","0","1","2","5"
"MIRT471518","hsa","hsa","hsa-miR-3613-5p","PCGF3","0","0","0","0","1","0","0","1","2","3"
"MIRT527432","hsa","hsa","hsa-miR-3613-5p","DDX17","0","0","0","0","1","0","0","1","2","3"
"MIRT226730","hsa","hsa","hsa-miR-3613-5p","ANP32B","0","0","0","0","1","0","0","1","2","5"
"MIRT556056","hsa","hsa","hsa-miR-3613-5p","MTF2","0","0","0","0","1","0","0","1","2","5"
"MIRT486037","hsa","hsa","hsa-miR-3613-5p","UBBP4","0","0","0","0","1","0","0","1","2","3"
"MIRT394859","hsa","hsa","hsa-miR-3613-5p","FLVCR1","0","0","0","0","1","0","0","1","2","3"
"MIRT456332","hsa","hsa","hsa-miR-3613-5p","F11R","0","0","0","0","1","0","0","1","2","3"
"MIRT536286","hsa","hsa","hsa-miR-3613-5p","LIMA1","0","0","0","0","1","0","0","1","2","3"
"MIRT698184","hsa","hsa","hsa-miR-3613-5p","TMEM66","0","0","0","0","1","0","0","0","1","2"
"MIRT563537","hsa","hsa","hsa-miR-3613-5p","RBM41","0","0","0","0","1","0","0","1","2","3"
"MIRT720990","hsa","hsa","hsa-miR-3613-5p","STRBP","0","0","0","0","1","0","0","1","2","3"
"MIRT609780","hsa","hsa","hsa-miR-3613-5p","NHSL1","0","0","0","0","1","0","0","1","2","3"
"MIRT630747","hsa","hsa","hsa-miR-3613-5p","COG6","0","0","0","0","1","0","0","1","2","3"
"MIRT636729","hsa","hsa","hsa-miR-3613-5p","AFAP1","0","0","0","0","1","0","0","1","2","3"
"MIRT534866","hsa","hsa","hsa-miR-3613-5p","QSER1","0","0","0","0","1","0","0","1","2","3"
"MIRT552120","hsa","hsa","hsa-miR-3613-5p","MED10","0","0","0","0","1","0","0","1","2","3"
"MIRT057668","hsa","hsa","hsa-miR-3613-5p","LCOR","0","0","0","0","1","0","0","1","2","3"
"MIRT613990","hsa","hsa","hsa-miR-3613-5p","NTNG2","0","0","0","0","1","0","0","1","2","3"
"MIRT556457","hsa","hsa","hsa-miR-3613-5p","LMNB2","0","0","0","0","1","0","0","1","2","5"
"MIRT710053","hsa","hsa","hsa-miR-3613-5p","RWDD2A","0","0","0","0","1","0","0","1","2","3"
"MIRT651450","hsa","hsa","hsa-miR-3613-5p","XKR4","0","0","0","0","1","0","0","1","2","3"
"MIRT714690","hsa","hsa","hsa-miR-3613-5p","TNFRSF13C","0","0","0","0","1","0","0","1","2","3"
"MIRT693905","hsa","hsa","hsa-miR-3613-5p","HNRNPA1L2","0","0","0","0","1","0","0","1","2","3"
"MIRT488700","hsa","hsa","hsa-miR-3613-5p","VPS13B","0","0","0","0","1","0","0","1","2","5"
"MIRT551886","hsa","hsa","hsa-miR-3613-5p","MMS22L","0","0","0","0","1","0","0","1","2","3"
"MIRT609431","hsa","hsa","hsa-miR-3613-5p","MTX3","0","0","0","0","1","0","0","1","2","3"
"MIRT563015","hsa","hsa","hsa-miR-3613-5p","GPR141","0","0","0","0","1","0","0","1","2","3"
"MIRT694031","hsa","hsa","hsa-miR-3613-5p","NCR3LG1","0","0","0","0","1","0","0","1","2","3"
"MIRT475866","hsa","hsa","hsa-miR-3613-5p","H3F3C","0","0","0","0","1","0","0","1","2","5"
